long,lat,Nationality,Code,Date,Female,Male,Child-Female,Child-Male
79.8714212,6.9044087,Peoples Republic Of China,CN,2010-02-26T00:00:00Z,21,74,,
53.688046,32.427908,Iran,IR,2010-02-26T00:00:00Z,5,71,3,7
101.975766,4.210484,Malaysia,MY,2010-02-26T00:00:00Z,8,20,,
108.277199,14.058324,Vietnam,VN,2010-02-26T00:00:00Z,3,13,,
95.956223,21.913965,Burma,MM,2010-02-26T00:00:00Z,,13,,1
8.675277,9.081999,Nigeria,NG,2010-02-26T00:00:00Z,,8,,2
,,Other,,2010-02-26T00:00:00Z,13,192,4,5
67.709953,33.93911,Afghanistan,AF,2010-01-29T00:00:00Z,20,630,12,92
80.771797,7.873054,Sri Lanka,LK,2010-01-29T00:00:00Z,12,488,4,11
43.679291,33.223191,Iraq,IQ,2010-01-29T00:00:00Z,10,133,3,14
53.688046,32.427908,Iran,IR,2010-01-29T00:00:00Z,11,112,2,6
79.8714212,6.9044087,Peoples Republic Of China,CN,2010-01-29T00:00:00Z,13,86,,
113.921327,-0.789275,Indonesia,ID,2010-01-29T00:00:00Z,1,70,,16
95.956223,21.913965,Burma,MM,2010-01-29T00:00:00Z,,36,,1
101.975766,4.210484,Malaysia,MY,2010-01-29T00:00:00Z,7,15,,
108.277199,14.058324,Vietnam,VN,2010-01-29T00:00:00Z,3,15,,
69.345116,30.375321,Pakistan,PK,2010-01-29T00:00:00Z,,11,,
,,Other,,2010-01-29T00:00:00Z,15,127,4,8
80.771797,7.873054,Sri Lanka,LK,2009-07-17T00:00:00Z,13,334,1,12
67.709953,33.93911,Afghanistan,AF,2009-07-17T00:00:00Z,1,288,6,53
79.8714212,6.9044087,Peoples Republic Of China,CN,2009-07-17T00:00:00Z,19,63,2,0
53.688046,32.427908,Iran,IR,2009-07-17T00:00:00Z,5,16,2,3
101.975766,4.210484,Malaysia,MY,2009-07-17T00:00:00Z,4,21,0,0
174.885971,-40.900557,New Zealand,NZ,2009-07-17T00:00:00Z,3,15,0,0
43.679291,33.223191,Iraq,IQ,2009-07-17T00:00:00Z,3,12,0,0
113.921327,-0.789275,Indonesia,ID,2009-07-17T00:00:00Z,1,13,1,0
108.277199,14.058324,Vietnam,VN,2009-07-17T00:00:00Z,0,10,0,0
127.766922,35.907757,South Korea,KR,2009-07-17T00:00:00Z,1,8,0,0
,,Other,,2009-07-17T00:00:00Z,6,79,1,2
